Date,Price
2018/06/11,2860.20,
2018/06/08,2864.45,
2018/06/07,2858.48,
2018/06/06,2836.84,
2018/06/05,2826.38,
2018/06/04,2819.74,
2018/06/01,2826.29,
2018/05/31,2827.16,
2018/05/30,2803.81,
2018/05/29,2813.76,
2018/05/28,2820.67,
2018/05/25,2828.53,
2018/05/24,2834.08,
2018/05/23,2838.84,
2018/05/22,2849.97,
2018/05/21,2865.53,
2018/05/18,2858.07,
2018/05/17,2835.78,
2018/05/16,2838.44,
2018/05/15,2839.44,
2018/05/14,2811.06,
2018/05/11,2801.64,
2018/05/10,2783.74,
2018/05/09,2825.33,
2018/05/08,2839.23,
2018/05/07,2834.61,
2018/05/04,2829.35,
2018/05/03,2838.83,
2018/05/02,2831.20,
2018/04/30,2819.90,
2018/04/26,2800.58,
2018/04/25,2802.04,
2018/04/24,2801.64,
2018/04/23,2803.63,
2018/04/20,2793.98,
2018/04/19,2797.00,
2018/04/18,2786.69,
2018/04/17,2778.03,
2018/04/16,2775.36,
2018/04/13,2782.33,
2018/04/12,2780.02,
2018/04/11,2773.24,
2018/04/10,2766.89,
2018/04/09,2770.51,
2018/04/06,2772.10,
2018/04/05,2761.64,
2018/04/04,2753.34,
2018/04/03,2753.78,
2018/03/29,2755.38,
2018/03/28,2753.41,
2018/03/27,2764.00,
2018/03/26,2754.30,
2018/03/23,2786.10,
2018/03/22,2804.96,
2018/03/20,2810.61,
2018/03/19,2816.07,
2018/03/16,2801.13,
2018/03/15,2807.69,
2018/03/14,2800.94,
2018/03/13,2814.26,
2018/03/12,2824.80,
2018/03/09,2804.16,
2018/03/08,2802.96,
2018/03/07,2801.14,
2018/03/06,2793.55,
2018/03/05,2785.11,
2018/03/02,2794.16,
2018/03/01,2809.84,
2018/02/28,2807.80,
2018/02/27,2809.43,
2018/02/26,2811.19,
2018/02/23,2808.57,
2018/02/22,2821.80,
2018/02/21,2820.51,
2018/02/20,2823.35,
2018/02/19,2825.89,
2018/02/16,2817.24,
2018/02/15,2818.06,
2018/02/14,2797.99,
2018/02/13,2793.62,
2018/02/12,2786.14,
2018/02/09,2784.61,
2018/02/08,2815.14,
2018/02/07,2813.55,
2018/02/06,2794.77,
2018/02/05,2833.83,
2018/02/02,2869.06,
2018/02/01,2877.62,
2018/01/31,2874.43,
2018/01/30,2873.09,
2018/01/29,2899.33,
2018/01/26,2889.38,
2018/01/25,2894.06,
2018/01/24,2890.01,
2018/01/23,2893.99,
2018/01/22,2888.62,
2018/01/19,2883.57,
2018/01/18,2882.38,
2018/01/17,2896.84,
2018/01/16,2887.88,
2018/01/15,2882.93,
2018/01/12,2875.55,
2018/01/11,2878.23,
2018/01/10,2886.77,
2018/01/09,2878.48,
2018/01/08,2896.23,
2018/01/05,2896.60,
2018/01/04,2883.12,
2018/01/03,2882.78,
2018/01/02,2873.08,
2017/12/29,2894.89,
2017/12/28,2880.78,
2017/12/27,2870.71,
2017/12/22,2898.91,
2017/12/21,2888.74,
2017/12/20,2888.87,
2017/12/19,2892.69,
2017/12/18,2858.71,
2017/12/15,2876.52,
2017/12/14,2870.50,
2017/12/13,2881.50,
2017/12/12,2874.37,
2017/12/11,2876.23,
2017/12/08,2873.58,
2017/12/07,2875.26,
2017/12/06,2870.41,
2017/12/05,2919.91,
2017/12/04,2945.37,
2017/12/01,2956.46,
2017/11/30,2945.18,
2017/11/29,2936.24,
2017/11/28,2923.63,
2017/11/27,2930.01,
2017/11/24,2949.21,
2017/11/23,2946.50,
2017/11/22,2945.52,
2017/11/21,2946.72,
2017/11/20,2947.55,
2017/11/17,2942.59,
2017/11/16,2962.15,
2017/11/15,2968.14,
2017/11/14,2970.56,
2017/11/13,2988.32,
2017/11/10,2990.64,
2017/11/09,2972.80,
2017/11/08,2963.11,
2017/11/07,2980.16,
2017/11/06,2970.10,
2017/11/03,2965.31,
2017/11/02,2955.22,
2017/11/01,2969.16,
2017/10/31,2961.86,
2017/10/30,2942.49,
2017/10/27,2936.07,
2017/10/26,2944.85,
2017/10/25,2936.05,
2017/10/24,2923.66,
2017/10/23,2914.23,
2017/10/20,2914.20,
2017/10/19,2900.29,
2017/10/18,2910.12,
2017/10/17,2892.63,
2017/10/16,2888.30,
2017/10/13,2890.67,
2017/10/12,2900.67,
2017/10/11,2901.39,
2017/10/10,2905.98,
2017/10/09,2915.21,
2017/10/06,2911.45,
2017/10/05,2900.60,
2017/10/04,2895.56,
2017/10/03,2907.57,
2017/10/02,2893.20,
2017/09/29,2888.50,
2017/09/28,2870.16,
2017/09/27,2873.52,
2017/09/26,2863.11,
2017/09/22,2864.08,
2017/09/21,2883.62,
2017/09/20,2872.35,
2017/09/19,2885.24,
2017/09/18,2880.94,
2017/09/15,2869.04,
2017/09/14,2876.72,
2017/09/13,2875.90,
2017/09/12,2865.49,
2017/09/11,2859.83,
2017/09/08,2854.02,
2017/09/07,2847.18,
2017/09/06,2853.73,
2017/09/05,2863.87,
2017/09/04,2863.95,
2017/09/01,2853.51,
2017/08/31,2863.22,
2017/08/30,2853.14,
2017/08/29,2841.92,
2017/08/28,2852.90,
2017/08/25,2855.04,
2017/08/24,2854.11,
2017/08/23,2855.68,
2017/08/22,2852.87,
2017/08/21,2844.47,
2017/08/18,2846.15,
2017/08/17,2848.35,
2017/08/16,2846.19,
2017/08/15,2861.36,
2017/08/14,2864.28,
2017/08/11,2871.65,
2017/08/10,2873.33,
2017/08/08,2864.76,
2017/08/07,2884.34,
2017/08/04,2892.57,
2017/08/03,2887.91,
2017/08/02,2890.44,
2017/08/01,2880.75,
2017/07/31,2877.68,
2017/07/28,2855.48,
2017/07/27,2855.48,
2017/07/26,2857.02,
2017/07/25,2852.09,
2017/07/24,2848.17,
2017/07/21,2856.67,
2017/07/20,2859.60,
2017/07/19,2848.86,
2017/07/18,2851.81,
2017/07/17,2850.32,
2017/07/14,2848.66,
2017/07/13,2855.27,
2017/07/12,2848.36,
2017/07/11,2854.37,
2017/07/10,2842.95,
2017/07/07,2839.57,
2017/07/06,2842.64,
2017/07/05,2841.32,
2017/07/04,2829.83,
2017/07/03,2834.70,
2017/06/30,2863.60,
2017/06/29,2855.72,
2017/06/28,2833.85,
2017/06/27,2834.99,
2017/06/26,2825.71,
2017/06/23,2828.11,
2017/06/22,2826.15,
2017/06/21,2827.92,
2017/06/20,2843.42,
2017/06/19,2844.31,
2017/06/15,2821.60,
2017/06/14,2809.17,
2017/06/13,2810.87,
2017/06/12,2817.01,
2017/06/09,2810.37,
2017/06/08,2790.05,
2017/06/07,2800.97,
2017/06/06,2803.55,
2017/06/05,2784.59,
2017/06/02,2789.32,
2017/06/01,2793.55,
2017/05/31,2807.44,
2017/05/30,2787.27,
2017/05/29,2762.70,
2017/05/26,2757.79,
2017/05/25,2773.31,
2017/05/24,2776.42,
2017/05/23,2794.84,
2017/05/22,2801.18,
2017/05/19,2804.84,
2017/05/18,2811.43,
2017/05/17,2794.44,
2017/05/16,2795.18,
2017/05/15,2803.91,
2017/05/12,2815.71,
2017/05/11,2810.02,
2017/05/10,2826.33,
2017/05/09,2838.54,
2017/05/08,2831.49,
2017/05/05,2833.59,
2017/05/04,2832.40,
2017/05/03,2826.66,
2017/05/02,2825.59,
2017/04/28,2828.41,
2017/04/26,2809.32,
2017/04/25,2806.13,
2017/04/24,2792.41,
2017/04/21,2806.61,
2017/04/20,2803.83,
2017/04/19,2813.27,
2017/04/18,2811.19,
2017/04/13,2820.28,
2017/04/12,2832.16,
2017/04/11,2842.00,
2017/04/10,2843.09,
2017/04/07,2835.60,
2017/04/06,2839.31,
2017/04/05,2843.60,
2017/04/04,2839.34,
2017/04/03,2821.77,
2017/03/31,2810.57,
2017/03/30,2782.01,
2017/03/29,2791.04,
2017/03/28,2787.49,
2017/03/27,2760.11,
2017/03/24,2750.64,
2017/03/23,2752.43,
2017/03/22,2760.33,
2017/03/20,2769.42,
2017/03/17,2775.41,
2017/03/16,2764.25,
2017/03/15,2758.29,
2017/03/14,2768.94,
2017/03/13,2773.80,
2017/03/10,2775.69,
2017/03/09,2774.23,
2017/03/08,2762.21,
2017/03/07,2760.73,
2017/03/06,2771.56,
2017/03/03,2772.11,
2017/03/02,2774.02,
2017/03/01,2766.81,
2017/02/28,2764.79,
2017/02/27,2735.57,
2017/02/24,2746.50,
2017/02/23,2749.34,
2017/02/22,2769.79,
2017/02/21,2764.15,
2017/02/20,2766.77,
2017/02/17,2765.78,
2017/02/16,2749.42,
2017/02/15,2750.77,
2017/02/14,2753.69,
2017/02/13,2769.08,
2017/02/10,2756.27,
2017/02/09,2759.54,
2017/02/08,2745.66,
2017/02/07,2740.27,
2017/02/06,2739.01,
2017/02/03,2737.20,
2017/02/02,2732.77,
2017/02/01,2725.91,
2017/01/31,2715.74,
2017/01/30,2713.96,
2017/01/27,2714.87,
2017/01/26,2710.18,
2017/01/25,2699.89,
2017/01/24,2704.11,
2017/01/23,2706.34,
2017/01/20,2697.65,
2017/01/19,2698.65,
2017/01/18,2703.24,
2017/01/17,2701.27,
2017/01/16,2706.23,
2017/01/13,2693.31,
2017/01/12,2690.70,
2017/01/11,2695.04,
2017/01/10,2679.14,
2017/01/09,2664.81,
2017/01/06,2674.32,
2017/01/05,2671.73,
2017/01/04,2659.69,
2017/01/03,2654.25,
2016/12/30,2686.46,
2016/12/29,2669.20,
2016/12/28,2677.93,
2016/12/23,2668.87,
2016/12/22,2679.60,
2016/12/21,2671.73,
2016/12/20,2675.41,
2016/12/19,2673.96,
2016/12/15,2649.44,
2016/12/14,2652.43,
2016/12/13,2640.25,
2016/12/12,2652.24,
2016/12/09,2663.83,
2016/12/08,2656.56,
2016/12/07,2634.02,
2016/12/06,2633.14,
2016/12/05,2647.75,
2016/12/02,2656.35,
2016/12/01,2655.33,
2016/11/30,2654.47,
2016/11/29,2646.94,
2016/11/28,2644.40,
2016/11/25,2659.09,
2016/11/24,2662.12,
2016/11/23,2663.01,
2016/11/22,2675.34,
2016/11/21,2672.14,
2016/11/18,2687.51,
2016/11/17,2665.13,
2016/11/16,2663.25,
2016/11/15,2650.77,
2016/11/14,2648.68,
2016/11/11,2650.32,
2016/11/10,2643.43,
2016/11/09,2608.60,
2016/11/08,2609.63,
2016/11/07,2606.59,
2016/11/04,2607.53,
2016/11/03,2620.87,
2016/11/02,2616.94,
2016/11/01,2633.46,
2016/10/31,2633.98,
2016/10/28,2652.56,
2016/10/27,2650.05,
2016/10/26,2652.62,
2016/10/25,2663.13,
2016/10/24,2660.50,
2016/10/21,2676.35,
2016/10/20,2680.59,
2016/10/19,2675.77,
2016/10/18,2667.18,
2016/10/17,2679.79,
2016/10/14,2678.41,
2016/10/13,2684.25,
2016/10/12,2680.12,
2016/10/11,2683.50,
2016/10/10,2660.63,
2016/10/07,2661.59,
2016/10/06,2683.00,
2016/10/05,2683.46,
2016/10/04,2695.72,
2016/10/03,2697.87,
2016/09/29,2690.98,
2016/09/28,2678.09,
2016/09/27,2668.05,
2016/09/26,2676.22,
2016/09/23,2682.35,
2016/09/22,2677.97,
2016/09/21,2681.94,
2016/09/20,2680.34,
2016/09/19,2685.95,
2016/09/16,2694.17,
2016/09/15,2699.98,
2016/09/14,2697.69,
2016/09/13,2706.58,
2016/09/12,2711.34,
2016/09/09,2734.47,
2016/09/08,2703.14,
2016/09/07,2691.85,
2016/09/06,2699.89,
2016/09/05,2695.90,
2016/09/02,2695.63,
2016/09/01,2706.69,
2016/08/31,2699.32,
2016/08/30,2687.18,
2016/08/29,2674.49,
2016/08/26,2661.78,
2016/08/25,2665.41,
2016/08/24,2639.36,
2016/08/23,2632.83,
2016/08/22,2626.99,
2016/08/19,2623.28,
2016/08/18,2619.47,
2016/08/17,2620.07,
2016/08/16,2623.36,
2016/08/15,2625.19,
2016/08/12,2621.45,
2016/08/11,2614.15,
2016/08/10,2615.48,
2016/08/08,2613.64,
2016/08/05,2616.06,
2016/08/04,2625.00,
2016/08/02,2637.11,
2016/08/01,2635.70,
2016/07/29,2631.71,
2016/07/28,2636.08,
2016/07/27,2632.39,
2016/07/26,2629.84,
2016/07/25,2620.04,
2016/07/22,2616.05,
2016/07/21,2615.89,
2016/07/20,2616.85,
2016/07/19,2617.99,
2016/07/18,2607.19,
2016/07/15,2600.79,
2016/07/14,2603.55,
2016/07/13,2593.39,
2016/07/12,2586.25,
2016/07/11,2594.21,
2016/07/08,2581.32,
2016/07/07,2581.21,
2016/07/06,2586.88,
2016/07/05,2590.14,
2016/07/04,2593.03,
2016/07/01,2586.89,
2016/06/30,2615.09,
2016/06/29,2599.87,
2016/06/28,2603.40,
2016/06/27,2596.13,
2016/06/24,2611.45,
2016/06/23,2645.74,
2016/06/22,2643.06,
2016/06/21,2633.56,
2016/06/20,2637.75,
2016/06/17,2635.03,
2016/06/16,2628.61,
2016/06/15,2628.61,
2016/06/14,2630.75,
2016/06/13,2634.80,
2016/06/10,2646.16,
2016/06/09,2644.50,
2016/06/08,2656.84,
2016/06/07,2646.77,
2016/06/06,2651.81,
2016/06/03,2661.08,
2016/06/02,2664.03,
2016/06/01,2655.94,
2016/05/31,2653.65,
2016/05/30,2655.86,
2016/05/27,2651.32,
2016/05/26,2660.26,
2016/05/25,2650.80,
2016/05/24,2648.52,
2016/05/23,2650.27,
2016/05/20,2664.05,
2016/05/19,2657.51,
2016/05/18,2660.72,
2016/05/17,2655.16,
2016/05/16,2642.76,
2016/05/13,2628.47,
2016/05/12,2632.38,
2016/05/11,2628.65,
2016/05/10,2622.97,
2016/05/09,2628.14,
2016/05/06,2623.51,
2016/05/05,2611.36,
2016/05/04,2599.63,
2016/05/03,2601.73,
2016/04/29,2604.79,
2016/04/28,2600.70,
2016/04/26,2604.77,
2016/04/25,2597.95,
2016/04/22,2591.48,
2016/04/21,2604.57,
2016/04/20,2577.31,
2016/04/19,2563.64,
2016/04/18,2563.06,
2016/04/15,2559.71,
2016/04/14,2564.64,
2016/04/13,2557.15,
2016/04/12,2561.55,
2016/04/11,2560.28,
2016/04/08,2559.70,
2016/04/07,2554.39,
2016/04/06,2548.94,
2016/04/05,2537.21,
2016/04/04,2533.51,
2016/04/01,2538.15,
2016/03/31,2547.22,
2016/03/30,2552.08,
2016/03/29,2545.28,
2016/03/24,2549.89,
2016/03/23,2552.98,
2016/03/22,2551.26,
2016/03/18,2555.18,
2016/03/17,2570.50,
2016/03/16,2558.15,
2016/03/15,2546.16,
2016/03/14,2531.98,
2016/03/11,2504.66,
2016/03/10,2525.91,
2016/03/09,2530.29,
2016/03/08,2539.99,
2016/03/07,2547.30,
2016/03/04,2532.43,
2016/03/03,2498.59,
2016/03/02,2485.21,
2016/03/01,2479.39,
2016/02/29,2462.89,
2016/02/26,2455.60,
2016/02/25,2443.66,
2016/02/24,2443.05,
2016/02/23,2444.19,
2016/02/22,2450.69,
2016/02/19,2460.34,
2016/02/18,2465.45,
2016/02/17,2462.45,
2016/02/16,2451.08,
2016/02/15,2451.11,
2016/02/12,2451.22,
2016/02/11,2453.04,
2016/02/10,2468.04,
2016/02/09,2475.63,
2016/02/08,2458.22,
2016/02/05,2455.49,
2016/02/04,2445.38,
2016/02/03,2425.40,
2016/02/02,2436.59,
2016/02/01,2428.48,
2016/01/29,2423.13,
2016/01/28,2413.63,
2016/01/27,2401.39,
2016/01/26,2392.94,
2016/01/25,2388.49,
2016/01/22,2375.98,
2016/01/21,2386.72,
2016/01/20,2397.74,
2016/01/19,2405.23,
2016/01/18,2405.48,
2016/01/15,2411.72,
2016/01/14,2415.48,
2016/01/13,2429.08,
2016/01/12,2429.61,
2016/01/11,2410.82,
2016/01/08,2415.44,
2016/01/07,2426.74,
2016/01/06,2438.47,
2016/01/05,2437.09,
2016/01/04,2441.17,
2015/12/31,2476.76,
2015/12/30,2469.58,
2015/12/29,2463.02,
2015/12/28,2463.42,
2015/12/24,2456.19,
2015/12/23,2445.82,
2015/12/22,2430.52,
2015/12/21,2414.35,
2015/12/18,2418.46,
2015/12/17,2416.13,
2015/12/15,2423.24,
2015/12/14,2446.11,
2015/12/11,2436.79,
2015/12/10,2431.97,
2015/12/09,2464.59,
2015/12/08,2469.12,
2015/12/07,2478.01,
2015/12/04,2480.97,
2015/12/03,2479.83,
2015/12/02,2491.94,
2015/12/01,2485.65,
2015/11/30,2487.20,
2015/11/27,2490.51,
2015/11/26,2491.10,
2015/11/25,2479.37,
2015/11/24,2475.11,
2015/11/23,2480.06,
2015/11/20,2497.55,
2015/11/19,2485.64,
2015/11/18,2475.11,
2015/11/17,2485.18,
2015/11/16,2489.62,
2015/11/13,2487.85,
2015/11/12,2505.19,
2015/11/11,2524.38,
2015/11/10,2541.84,
2015/11/09,2547.05,
2015/11/06,2552.88,
2015/11/05,2550.41,
2015/11/04,2566.79,
2015/11/03,2559.93,
2015/11/02,2557.34,
2015/10/30,2563.73,
2015/10/29,2554.60,
2015/10/28,2561.62,
2015/10/27,2568.44,
2015/10/26,2575.53,
2015/10/23,2581.28,
2015/10/22,2571.59,
2015/10/21,2564.17,
2015/10/20,2550.88,
2015/10/19,2556.55,
2015/10/16,2556.25,
2015/10/15,2557.06,
2015/10/14,2554.85,
2015/10/13,2557.58,
2015/10/12,2578.55,
2015/10/09,2584.88,
2015/10/08,2558.32,
2015/10/07,2563.18,
2015/10/06,2558.64,
2015/10/05,2535.66,
2015/10/02,2528.28,
2015/10/01,2514.23,
2015/09/29,2516.28,
2015/09/28,2530.96,
2015/09/25,2548.71,
2015/09/23,2540.29,
2015/09/22,2537.37,
2015/09/21,2550.71,
2015/09/18,2539.90,
2015/09/17,2555.56,
2015/09/16,2550.57,
2015/09/15,2588.24,
2015/09/14,2594.75,
2015/09/11,2602.77,
2015/09/10,2609.80,
2015/09/09,2599.49,
2015/09/08,2613.76,
2015/09/07,2625.94,
2015/09/04,2622.14,
2015/09/03,2610.07,
2015/09/02,2608.51,
2015/09/01,2620.42,
2015/08/31,2611.49,
2015/08/28,2602.77,
2015/08/27,2577.22,
2015/08/26,2572.24,
2015/08/25,2579.27,
2015/08/24,2613.03,
2015/08/21,2616.54,
2015/08/20,2616.73,
2015/08/19,2582.19,
2015/08/18,2570.00,
2015/08/17,2575.32,
2015/08/14,2567.72,
2015/08/13,2571.29,
2015/08/12,2568.99,
2015/08/11,2555.22,
2015/08/07,2552.48,
2015/08/06,2546.33,
2015/08/05,2543.03,
2015/08/04,2548.12,
2015/08/03,2555.64,
2015/07/31,2554.37,
2015/07/30,2553.26,
2015/07/29,2556.86,
2015/07/28,2571.74,
2015/07/27,2572.83,
2015/07/24,2566.55,
2015/07/23,2562.79,
2015/07/22,2544.52,
2015/07/21,2545.72,
2015/07/20,2546.48,
2015/07/17,2561.02,
2015/07/16,2560.23,
2015/07/15,2569.39,
2015/07/14,2563.18,
2015/07/13,2572.29,
2015/07/10,2577.88,
2015/07/09,2593.66,
2015/07/08,2595.74,
2015/07/07,2602.56,
2015/07/06,2599.68,
2015/07/03,2591.55,
2015/07/02,2588.71,
2015/07/01,2585.41,
2015/06/30,2617.98,
2015/06/29,2604.10,
2015/06/26,2603.15,
2015/06/25,2595.22,
2015/06/24,2606.07,
2015/06/23,2612.70,
2015/06/22,2625.43,
2015/06/19,2638.95,
2015/06/18,2641.76,
2015/06/17,2646.77,
2015/06/15,2666.79,
2015/06/12,2680.37,
2015/06/11,2682.60,
2015/06/10,2684.26,
2015/06/09,2681.08,
2015/06/08,2693.52,
2015/06/05,2694.05,
2015/06/04,2691.17,
2015/06/03,2693.18,
2015/06/02,2678.58,
2015/06/01,2675.52,
2015/05/29,2680.07,
2015/05/28,2668.43,
2015/05/27,2667.29,
2015/05/26,2663.20,
2015/05/25,2668.12,
2015/05/22,2670.80,
2015/05/21,2673.02,
2015/05/20,2677.94,
2015/05/19,2660.62,
2015/05/18,2663.44,
2015/05/15,2656.66,
2015/05/14,2659.56,
2015/05/13,2663.09,
2015/05/12,2667.72,
2015/05/11,2664.71,
2015/05/08,2656.73,
2015/05/07,2648.34,
2015/05/06,2659.41,
2015/05/05,2668.01,
2015/05/04,2653.89,
2015/04/30,2646.45,
2015/04/29,2648.10,
2015/04/28,2663.67,
2015/04/24,2652.85,
2015/04/23,2641.66,
2015/04/22,2638.51,
2015/04/21,2635.98,
2015/04/20,2629.29,
2015/04/17,2635.39,
2015/04/16,2635.63,
2015/04/15,2625.86,
2015/04/14,2623.61,
2015/04/13,2629.76,
2015/04/10,2616.77,
2015/04/09,2601.63,
2015/04/08,2600.67,
2015/04/07,2596.05,
2015/04/02,2600.92,
2015/04/01,2603.32,
2015/03/31,2603.22,
2015/03/30,2591.82,
2015/03/27,2589.62,
2015/03/26,2598.82,
2015/03/25,2602.45,
2015/03/24,2614.50,
2015/03/23,2616.73,
2015/03/20,2616.77,
2015/03/19,2616.40,
2015/03/18,2610.14,
2015/03/17,2614.79,
2015/03/16,2619.68,
2015/03/13,2607.62,
2015/03/12,2603.42,
2015/03/11,2607.41,
2015/03/10,2618.28,
2015/03/09,2627.13,
2015/03/06,2637.39,
2015/03/05,2641.10,
2015/03/04,2646.14,
2015/03/03,2645.17,
2015/03/02,2643.13,
2015/02/27,2624.98,
2015/02/26,2623.80,
2015/02/25,2622.35,
2015/02/24,2620.90,
2015/02/23,2618.02,
2015/02/20,2615.82,
2015/02/19,2619.58,
2015/02/18,2615.01,
2015/02/17,2613.23,
2015/02/16,2622.32,
2015/02/13,2615.26,
2015/02/12,2612.11,
2015/02/11,2598.60,
2015/02/10,2596.65,
2015/02/09,2589.64,
2015/02/06,2595.74,
2015/02/05,2602.40,
2015/02/04,2594.35,
2015/02/03,2596.18,
2015/02/02,2586.22,
2015/01/30,2593.31,
